1	2	999999999
1	9	999999999
2	3	999999999
2	10	999999999
2	1	999999999
3	4	999999999
3	2	999999999
4	5	999999999
4	12	999999999
4	3	999999999
5	6	999999999
5	4	999999999
6	7	999999999
6	14	999999999
6	5	999999999
7	8	999999999
7	6	999999999
8	16	999999999
8	7	999999999
9	10	999999999
9	17	999999999
9	1	999999999
10	11	999999999
10	18	999999999
11	12	999999999
11	3	999999999
12	13	999999999
12	20	999999999
13	14	999999999
13	5	999999999
14	15	999999999
14	22	999999999
15	16	999999999
15	7	999999999
16	24	999999999
16	8	999999999
17	25	999999999
17	9	999999999
18	26	999999999
18	17	999999999
19	18	999999999
19	11	999999999
20	28	999999999
20	19	999999999
21	20	999999999
21	13	999999999
22	30	999999999
22	21	999999999
23	22	999999999
23	15	999999999
24	32	999999999
24	23	999999999
24	16	999999999
25	26	999999999
25	33	999999999
25	17	999999999
26	27	999999999
26	34	999999999
27	28	999999999
27	19	999999999
28	29	999999999
28	36	999999999
29	30	999999999
29	21	999999999
30	31	999999999
30	38	999999999
31	32	999999999
31	23	999999999
32	40	999999999
32	24	999999999
33	41	999999999
33	25	999999999
34	42	999999999
34	33	999999999
35	34	999999999
35	27	999999999
36	44	999999999
36	35	999999999
37	36	999999999
37	29	999999999
38	46	999999999
38	37	999999999
39	38	999999999
39	31	999999999
40	48	999999999
40	39	999999999
40	32	999999999
41	42	999999999
41	49	999999999
41	33	999999999
42	43	999999999
42	50	999999999
43	44	999999999
43	35	999999999
44	45	999999999
44	52	999999999
45	46	999999999
45	37	999999999
46	47	999999999
46	54	999999999
47	48	999999999
47	39	999999999
48	56	999999999
48	40	999999999
49	57	999999999
49	41	999999999
50	58	999999999
50	49	999999999
51	50	999999999
51	43	999999999
52	60	999999999
52	51	999999999
53	52	999999999
53	45	999999999
54	62	999999999
54	53	999999999
55	54	999999999
55	47	999999999
56	64	999999999
56	55	999999999
56	48	999999999
57	58	999999999
57	49	999999999
58	59	999999999
58	57	999999999
59	60	999999999
59	58	999999999
59	51	999999999
60	61	999999999
60	59	999999999
61	62	999999999
61	60	999999999
61	53	999999999
62	63	999999999
62	61	999999999
63	64	999999999
63	62	999999999
63	55	999999999
64	63	999999999
64	56	999999999
